"","Username","Ulasan","Kategori","","","","","","","","","","","","","","","","","","","","","",""
"10","Nur Indah","Lokasinya sangat strategis dan aksesnya mudah dijangkau. Bisa bermain air didekat air terjun maupum disekitar aliran sungainya yg sedang mengalir. Tempatnya sangat luas dan aman dikunjungi. Makanan disekitar wisata juga enak dan terjangaku. Disekitar air terjun ada persewaan tenda utk yg mau camping.","positif","","","","","","","","","","","","","","","","","","","","","",""
"11","iyasayuri Vano","Area air terjun tidak terlalu besar. Tapi cukup tinggi untuk air terjunnya. Area sungai cukup luas bisa dinikmati di sepanjang jalan, ada area taman kelinci dan lainnya. Tersedia warung kopi dan tempat oleh2. Bisa untuk area camp dan sangat luas. Weekend sangat ramai pengunjung.","netral","","","","","","","","","","","","","","","","","","","","","",""
"12","Andik Firdaus","Air terjun dlundung sekarang sangat bagus, di bawahnya sekarang banyak tempat bermain anak2 juga ada taman kelinci juga ada tempat camping ground, sayangnya daerah Trawas kalau hari Minggu sangat padat kendaraan mobil juga motor, kadang …","positif","","","","","","","","","","","","","","","","","","","","","",""
"13","Danu Project","Air terjun dengan pemandangan alam  yang asri dan masih terjaga kelestariannya . memberikan nyaman menikmati alam yang indah . udaranya bersih dan sejuk . terpesona akan ciptaan Tuhan yang maha kuasa.fasiltas yang lengkap ada …","positif","","","","","","","","","","","","","","","","","","","","","",""
"14","deny novydyanto","Tempat rekreasi keluarga yang asik.
Sejak SMP sering camping di sini dari yang masih alami sekali (sepi pengunjung & belum ada pembangunan) dan jalannya masih kurang bagus. Sampai sekarang …","positif","","","","","","","","","","","","","","","","","","","","","",""
"15","Lisaria Anjelina","Air terjun Dlundung berlokasi di Dusun Ketapang, desa Kemloko, kec terawas kab. Mojokerto. Berjarak kurang lebih 38 kilometer dari pusat Kota Mojokerto, menuju air terjun ini sudah terkelola dengan baik. Pengunjung di suguhkan pemandangan …","positif","","","","","","","","","","","","","","","","","","","","","",""
"16","Yustisia Hima","Kalau weekend super rame banget, sekarang antara parkir sepeda motor sama tangga menuju air terjun lumayan jauh. Padahal dulu parkir motornya deket sama penjual makanan. Sejuk bangett udaranyaa🌻 …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"17","eva rosyida","Salah satu tempat wisata Alam favorite di kota Mojokerto. Suasana masih Asri, dingin, cocok untuk tempat healing. Hehehe... Untuk anak2 juga banyak pilihan, Ada taman kelinci, rumah lobster, dll... Jika lapar juga banyak penjual makanan dan …","positif","","","","","","","","","","","","","","","","","","","","","",""
"18","Ika Putt","Jalan menuju ke tempat wisata sudah beraspal, agak menanjak. Parkirnya lumayan luas. Air terjunnya airnya banyak, bisa berfoto di depan air terjun. Di bawah air terjun ada playground yang cocok untuk anak2. Kondisi alamnya sangat bagus. Sebelum sampai ke air terjun ada tempat untuk berkemah.","positif","","","","","","","","","","","","","","","","","","","","","",""
"19","Roni Anggoro","Air terjunnya BAGUS SEKALI.
Udara segar sekali, karena angin kencang, air berterbangan, hawa sejuk… haha… …","positif","","","","","","","","","","","","","","","","","","","","","",""
"20","Youlia Deva","Tiket masuk air terjun 28rb kalau ga salah 2org. Untuk sepeda motor parkir 3rb. Karena ku kesana naik motor. Jadi tempatnya banyak spot nya bisa  buat kemah, ada kolam renang anak bayar lagi nanti 5rb per org. Ada taman kelinci bayar lagi …","netral","","","","","","","","","","","","","","","","","","","","","",""
"21","Xxsteve Njoo","Kebetulan berkunjung rame sekali. Parkir luas penuh tapi tukang parkir ngatur nya bagus dan banyak. Cocok untuk keluarga. Bisa main air sambil bersyukur dgn ciptaan Tuhan yg luar biasa. Air nya mengalir terus. Sayang toilet nya kurang. Sejauh ini bagus. Recommended buat main air.","positif","","","","","","","","","","","","","","","","","","","","","",""
"22","DD ChannelKu","Tempatnya lebih bersih skrg.. Nyaman,, cuma untuk toilet ganti itu kyknya kurang banyak,, krn lama antri untuk ganti baju,, air terjun sngat bagus,, dan bersih,, tapi pas tanggal merah banyak ibu"" berseragam dan rame bgt.. Klo foto spot nya gak bisa estetik,, tapi overall recomended banget untuk rekreasi wisata air..","positif","","","","","","","","","","","","","","","","","","","","","",""
"23","Agus Andrianto","Berkemah di kawasan wisata air terjun dlundung trawas Mojokerto sangatlah asyik...bagi yg mau ke air terjunnya saja jg bisa...rekomend buat bersama keluarga..individu jg bisa,apalagi tarif nya sangat terjangkau sekali..tdk menguras kantong.😄😀 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"24","Anazzal HR3A","Pertama Kali nya kesini. Pagi gitu masih sepi, Klo siang jam 11 an dah rame bakal dapet parkir nya jauh banget.
Ke air terjun dlundung bayar di loket 12500 Tiket dewasa nya. …","netral","","","","","","","","","","","","","","","","","","","","","",""
"25","Achmad Taufik","Satu dari air terjun di area sini yg saya suka, Krn akses mudah, area parkir jg lgsg ke lokasi, tdk perlu jalan jauh sampai air terjun, aliran air terjun jg bs lgsg di nikmati keindahannya dr bawah, udara yg pasti sejuk dan rindang …","positif","","","","","","","","","","","","","","","","","","","","","",""
"26","Ris Konsultan Pajak","Paket Lengkap, ada air terjun, ada camping area, ada taman keLinci, ada sungai 😍 viewnya wonderfull, adem banget... Peacefull 😍 parkir mobil Deket, parkir motornya yg jauh... Ada mungkin 300-400m jaLan kaki... …","positif","","","","","","","","","","","","","","","","","","","","","",""
"27","Mochammad Ubaidillah","Tempat wisata air terjun, cocok untuk rekreasi bersama keluarga, hutan luas dan rindang cocok buat camping ground, ada taman bunga, taman kelinci, Gazebo, toilet umum, mushola, parkiran yang luas dan banyak pedagang kaki di pinggir jalan, …","positif","","","","","","","","","","","","","","","","","","","","","",""
"28","RUDI KA","Tempat wisata air terjun yang menyajikan pemandangan alam dengan udara yang sejuk,terdapat sungai yg mengalir jernih sangat cocok buat anak-anak bermain air,serta terdapat taman kelinci untuk edukasi anak.","positif","","","","","","","","","","","","","","","","","","","","","",""
"29","Rizqi Amaliya","Ke sini saat weekend. ramai sekali. HTM Rp 14.000/orang.
Banyak warung-warung juga dan live music.
Ada musholla kapasitas minimalis untuk pengunjung yang begitu banyak.","netral","","","","","","","","","","","","","","","","","","","","","",""
"30","silvana ratri","Ga ada kendaraan umum buat sampai di sini, jadi harus bawa kendaraan sendiri. Parkir motor sekarang g boleh di dalam lagi tapi di belakang gerbang, bayar lagi buat parkir padahal pas di gerbang udah ditarik karcis parkir selain tiket masuk …","netral","","","","","","","","","","","","","","","","","","","","","",""
"31","arif mardiyansah","Tenpat wisata yang sejuk dan menyenangkan.  Harga tiket murah, tidak ada pungli. Pemjaga parkir ramah. Ada kolam renang untuk anak2, pujasera dengan harga yg wajar. Ada taman kelinci. Ada bumi perkemahan dan persewaan tenda.","positif","","","","","","","","","","","","","","","","","","","","","",""
"32","Anna Noelina","Tempat yang bagus untuk dikunjungi bersama keluarga, ada Taman kelinci untuk anak² , air terjun dan camping ground, banyak penjual makanan jadi tidak takut kelaparan dengan harga terjangkau,toilet bersih ,minggu yl bayar 54 rb untuk 3 orang dewasa ditambah uang parkir 10rb untuk masuk ( bisa menikmati air terjun dan camping)","positif","","","","","","","","","","","","","","","","","","","","","",""
"33","Yanes Afrilia","Lokasi bagus cocok untuk wisata keluarga,dg pemandangan alam air terjun dan cocok juga untuk anak""bermain air.Buat yang suka kemping/berkemah lokasi ini cocok juga untuk itu.","positif","","","","","","","","","","","","","","","","","","","","","",""
"34","Miya Yustiyana","Masya Allah Tabarakallah
Bagus pemandangannya
Datang ke sana pas weekend jadi emg rame pengunjung nya …","positif","","","","","","","","","","","","","","","","","","","","","",""
"35","Yunita Ekawahyu","sejuk banget udaranya, sayang belum naik ke air terjunnya. waktu itu cuma camping aja disini. saran untuk pengelolanya, tolong di tambah lagi toiletnya. terima kasih.","positif","","","","","","","","","","","","","","","","","","","","","",""
"36","Berto Silaban","Objek wisata air terjun yg bisa kalian kunjungi. Terdapat bumi perkemahan yg luas untuk lokasi camping. Tempatnya sejuk dan adem, parkiran luas. Datanglah pas weekday karna kalau weekend bakal rame full. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"37","Ro - X Channel","Alkhamdulillah perubahan lumayan banyak dan lebih baik. Hanya saja kalau pas musim liburan padat banget untuk parkiran mobil dan motor.
Minusnya. : …","netral","","","","","","","","","","","","","","","","","","","","","",""
"38","claudia wilma","Nyaman karena jarak air terjun dekat dengan parkiran mobil. Ada camping ground, warung makan dan toilet bersih. Cocok buat wisata keluarga. Senang kesini.","positif","","","","","","","","","","","","","","","","","","","","","",""
"39","prita aja","3 kali kesini fasilitasnya nambah. Lebih bagus, lebih tertata rapi. Naiknya gak begitu jalan jauh. Paling enak kesini setelah jam 3 selain tidak begitu ramai krn org pd pulang, kita bs lebih menikmati air terjun nya. Makanan nya lmyn beragam dan murah. Tiket masuk cuma 10rb an kalo ndak salah. Sejuk.","positif","","","","","","","","","","","","","","","","","","","","","",""
"40","Alfiah Indriani","Bagus banget, karena saya menyukai Alam yg indah ciptaanya..Allah SWT
Rame banget pengunjungnya dn banyak yg lagi camping di sekitar Dlundung..pokoke asiiikk deh buat akhir pekan/ liburan","positif","","","","","","","","","","","","","","","","","","","","","",""
"41","Setya M August Official","Tempat nya asyik
sejuk
cocok buat hunting/sekedar cuci mata …","positif","","","","","","","","","","","","","","","","","","","","","",""
"42","sarah rosalinda","air terjunnya bagus, dingin
tapi kalo hari libur astaga rame banget, dampaknya kalo rame tuh parkiran, kalo yg diatas udah penuh harus parkir dibawah, jalannya jauh dan menanjak. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"43","yulia purnama sari","Kalau bawa anak kecil buat main air paling aman dan nyaman di taman kelinci. Bayar 5k saja tidak termasuk wortelnya. Ada gazebo untuk yang lagi nungguin. Ada mushola dan toiletnya gratis. Kalau yang diluar taman kelinci bayar. Warung2 disekitar air terjun menyediakan jasa sewa tenda. Kalau mau cas hp bayar 5k","netral","","","","","","","","","","","","","","","","","","","","","",""
"44","Dwi Asmoro Witjaksono","Asyik buat refreshing. Suasananya sejuk, segar. Bisa untuk berkemah juga. Ada persewaan tenda. Ada juga taman kelinci. Warung 24 jam yang di sekitar camping groundnya.","positif","","","","","","","","","","","","","","","","","","","","","",""
"45","Ayu Fanani Sari","Kesana saat hari minggu. Jadi rame banget. Ada tempat perkemahan. kolam renang dan taman kelinci. Untuk tempat parkir mobilnya lebih ditinjau kembali karena sulit sekali untuk tempat parkir mobilnya . Semoga bisa dikoreksi kembali","negatif","","","","","","","","","","","","","","","","","","","","","",""
"46","Linda Agustina","Tempat parkir luas, ada persewaan tenda juga, tiket masuk kemarin 7 org kena 95K. Menyediakan voucher WiFi 5 jam 5K.","positif","","","","","","","","","","","","","","","","","","","","","",""
"47","Regita Claudia","Tempat dirawat dengan baik, kamar mandi bersih, mushola nyaman dan bersih. Tempat camping yang cukup nyaman khususnya ground H dekat kamar mandi tapi tidak terlalu ramai orang lalu lalang, oke bgt buat camping. Akses ke lokasi cukup mudah. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"48","Nuril Maulidha","Bagus yaa. Cocok untuk edukasi anak anak. Saran kalau mau kesini hari biasa aja yees, kalau weekend ruame banget. Apalagi campground nya sangat cocok untuk mengajak keluarga atau teman² karena tempatnya yang mudah dijangkau. Cuman biaya nya ya lumayan lah","positif","","","","","","","","","","","","","","","","","","","","","",""
"49","agung firman","Air terjun nya bagus banget fasilitas nya lengkap ada mushola & toiletnya juga.
Ada tempat camping nya dan warung"" Kalau lagi lapar.
Untuk tiket masuk 10rb di hari kerja dan 12,5 rb di weekend dan parkir nya 4rb.","positif","","","","","","","","","","","","","","","","","","","","","",""
"50","Fia Varo","Pemandangan alam air terjun yang masih asri dan alami. Cukup indah dan menyejukkan pandangan, meski lokasinya tidak terlalu luas. Jalan untuk menuju ke air terjun berbatu & cukup licin saat basah...hati2.","positif","","","","","","","","","","","","","","","","","","","","","",""
"51","Faris Ardiansyah","Air terjun punya view yang bagus dan cocok untuk berfoto-foto, untuk harga tiket masuknya termasuk murah diangka 10k. Akses Jalan untuk mau ke lokasi air terjunnya agak sedikit licin apalagi saat musim hujan. Disamping jalan juga ada warung buat beli makan.","positif","","","","","","","","","","","","","","","","","","","","","",""
"52","Nikmatul Uyun","benerran tempatnya sekarang lebih bagusss dari tahun kemarin.. tempatnya sekarang lebih rapih bagus.. dan sudah banyak yang di perbaiki.. pas bngett untuk tempat camp,dan rekreasip😍😍🥰🥰🥰suka bangett pokoknya.. ga nyesel balik ke sini lagii... jadi pangen mampir lagii …","positif","","","","","","","","","","","","","","","","","","","","","",""
"53","Alfiana Nur Aisyah","pernah kesini taun lalu, viewnya bagus dan air terjunnya jernih. Di sekitar air terjun terdapat banyak warung. Ada pula toilet dan taman kelinci di dekat parkiran.","positif","","","","","","","","","","","","","","","","","","","","","",""
"54","Adelina Putri Anindhyta","Masya Allah air terjunnya sangat indah. Alhamdulillah letak air terjunnya tidak jauh dari tempat parkir, jadi tidak capek jalannya dan terbayar dg keindahan air terjun. Segerrrrr... Jika bawa anak2, jangan lupa mampir ke taman kelinci, …","positif","","","","","","","","","","","","","","","","","","","","","",""
"55","Fruity Loops","Weekend rame pengunjung, mobil motor penuh. Seminggu lalu ke tempat ini dgn total biaya 32k untuk 2 orang termasuk parkir yg di dalam. Stand makanan di pinggiran jalan sebelum masuk ke waterfall cukup banyak, menu masih bervariasi, harga standar. Krn weekend, parkiran motor ada di bawah jd harus berjalan agak jauh.","netral","","","","","","","","","","","","","","","","","","","","","",""
"56","dimas pamungkas","Untuk berkemah dengan kelompok lebih dari 20 orang atau lebih dari 5 Tenda penting rasanya untuk melakukan reservasi ke pengelola.","netral","","","","","","","","","","","","","","","","","","","","","",""
"57","apll3 negative","Area Camp.ground sangat aman buat balita.ditambah panorama alam yg indah dgn air terjunnya yg cantik.
Tak lupa ada taman kelinci.,dll.,","positif","","","","","","","","","","","","","","","","","","","","","",""
"58","Yanti Suparyanti","Hijau, ejuk dan nyaman cenderung dingin cocok untuk memanjakan mata dan pikiran dari kepenatan pekerjaan sehari-hari. Lahan parkir luas dan akses jalan bagus memudahkan pengunjung meski di  sebagiian jalan menuju air terjun masih dijumpai jalan yg berbau pesing karena perilaku orang2 yg tidak bertanggung jawab","positif","","","","","","","","","","","","","","","","","","","","","",""
"59","Ade Rohani","Bayar tiket/orang
Parkir motor
Ada sewa peralatan camping …","netral","","","","","","","","","","","","","","","","","","","","","",""
"60","Afif Nay","Dari parkiran ke lokasi air terjun dekat dan tidak seberapa menanjak.
Ada taman 🐇🐰 Dan kolam renang untuk anak2. …","netral","","","","","","","","","","","","","","","","","","","","","",""
"61","SMK Negeri 1 Sarirejo - Lamongan","Wisata alam air terjun yang indah dan eksotis,
Tempatnya bersih dan hijau,
Akses masuk ke lokasi lumayan menanjak, jadi cek kendaraan apabila kesini, …","positif","","","","","","","","","","","","","","","","","","","","","",""
"62","Linda Puspita","Cocok bgt utk liburan keluarga anak2 kecil yg mau belajar camp, wisata taman kelinci, & air terjun ,, tarif amat sgt terjangkau ..","netral","","","","","","","","","","","","","","","","","","","","","",""
"63","AxerR 037","Tempat yg sejuk anginnya juga kenceng, airnya dingin, taati semua peraturan yg ada buang sampah pada tempatnya, dan jaga lisan agar tidak terjadi yg tidak diinginkan","netral","","","","","","","","","","","","","","","","","","","","","",""
"64","FX Wargodo","Seharusnya parkir kendaraan roda 4 tidak sampai di lokasi air terjun, cukup dibawah, jadi terkesan ruwet, pejalan kaki merasa tidak aman krn kendaraan roda 4 lalu lalang.... Harus ektra pegang anak2 .","negatif","","","","","","","","","","","","","","","","","","","","","",""
"65","Ilham Fatahillah","tempat wisata air terjun dan camping ground buat keluarga tercinta, ramai pengunjung kalau weekend, cocok buat reunian ,🫡 …","netral","","","","","","","","","","","","","","","","","","","","","",""
"66","adhi nr","Tempat yg cocok untuk camping ceria bersama keluarga, tiket untuk camping 18 ribu/ orang, jika tidak bawa tenda bisa sewa di warung sekitar pintu masuk, kisaran harga 50ribuan, saran untuk pengelola, toilet diperbanyak dan aliran airnya diperbaiki 🙏 …","netral","","","","","","","","","","","","","","","","","","","","","",""
"67","Akhmad Tony Adam","Sangat nyaman, tempat bersih, tersedia tempat sampah yg memadai juga. Rambu2 peringatan disekitar air terjun juga cukup jelas. Cocok buat refreshing keluarga","positif","","","","","","","","","","","","","","","","","","","","","",""
"68","roes diyan","Lumayan rame tempat bagus
Ada taman kelinci
Ada sewa kuda buat anak kecil …","positif","","","","","","","","","","","","","","","","","","","","","",""
"69","Budug asu","Tempat nya sangat keren HTM 12.500,biaya parkir 2000,biaya penataan parkir 3000 dan biaya asuransi 500 rupiah jadi total per orang 18.000
Disana terdapat banyak pilihan wisata selain air terjun ada jg camping ground serta taman kelinci yg harus bayar lagi seharga 5 ribu.","positif","","","","","","","","","","","","","","","","","","","","","",""
"70","Trisna Sandy","Sekarang lebih enak suasananya, bersih,ada rmpt berkemah ya tp sayang tmpt MCKnya tdk di rawat","positif","","","","","","","","","","","","","","","","","","","","","",""
"71","Poltak Siagian","Sangat bagus untuk healing karena camping  ditempat sejuk dan segar sangat bermanfaat bagi tubuh.","positif","","","","","","","","","","","","","","","","","","","","","",""
"72","Hadi Poerwanto","tempatnya cukup bagus dan bersih... hawa sejuk dan segar..
htm weekdays 10k
htm weekend 12,5 k","positif","","","","","","","","","","","","","","","","","","","","","",""
"73","Dodik eko Purwanto","Alami dan natural sangat terasa sekali setelah kita memasuki area air terjun, tempat wisata keluarga yg aman dan bisa dijadikan edukasi bagi anak2","positif","","","","","","","","","","","","","","","","","","","","","",""
"74","Afan Channel","Pemandangan bagus, pengelola profesional. Dari trawas dekat dan tidak sulit. Utk camping luas fasilitas lengkap .","positif","","","","","","","","","","","","","","","","","","","","","",""
"75","Faris Firmansyah","Bisa dibilang air terjun paling ramah kaki karena jarak dari air terjun ke parkiran deket banget suasananya sejuk dan disini banyak sungai yang bisa dibuat kecek/main air paling enak sungai dibawah jembatan setelahnya warung makan paling …","positif","","","","","","","","","","","","","","","","","","","","","",""
"76","Nadia Mardhiyah","Masuk gapura bayar tiket dan parkir motor ada struknya, tapi masuk area parkiran masih harus bayar parkir lagi, sudah ditanyakan kenapa kok bayar lagi, jawabnya ada retribusi parkir dikasih karcis parkir lagi. …","negatif","","","","","","","","","","","","","","","","","","","","","",""
"77","akbar gbr123","Alhamdulillah bisa camping lagi di bumi perkemahan Dlundung bersama keluarga tercinta, tempat nya bagus dan asyik... camping bonus air terjun dan bisa ke taman kelinci dan omah camping.....pokoknya siiiippp camping disini,ada WiFi nya juga …","positif","","","","","","","","","","","","","","","","","","","","","",""
"78","Eri Ns","Tempat yg bener bagus banget ...tiket masuknya juga murah...pokoknya gak bakal nyesel ke Dlundung Waterfall....","positif","","","","","","","","","","","","","","","","","","","","","",""
"79","Affita Anggraini","Tempat kemah/camping keluarga yg pass dan cocokk bgt untuk yg pgn menikmati semalam bertenda bersama keluarga, paginya jalan naik ke atas air terjun, bnyk persewaaan tenda. Recommend camping d area terdekat dgn air terjun, terasa gemercikk air terjun yg mengaliri sungai kecil d sebelah tenda 👍👍🏕️ …","positif","","","","","","","","","","","","","","","","","","","","","",""
"80","Aries seyra Go","Tempatnya bagus,apalagi masih ada yg alami atasnya lagi,bisa dikunjungi kalau musim hujan udah selesai","positif","","","","","","","","","","","","","","","","","","","","","",""
"81","Tutik Mutmainnatul Jannah","Wisatanya bagus, makanannya mahal, dan tiap masuk parkir harus bayar beberapa kali, tiap masuk wisatanya jg bayar wkwkw","positif","","","","","","","","","","","","","","","","","","","","","",""
"82","shandy rico","Sejuk tapi karena paling terkenal di trawas jadi tiap weekend rame banget gk bisa leluasa nikmati liburan karena banyak pengunjung","negatif","","","","","","","","","","","","","","","","","","","","","",""
"83","Pujianto","Air terjun, dan tempat wisata, berbagai macam makanan pun ada, untuk Camp juga ada, tapi sayangnya  bayar arkir nya 2x, pertama diloket masuk sudah ada karcis parkir. Masuk lokasi ada bayar parkir lagi.","negatif","","","","","","","","","","","","","","","","","","","","","",""
"84","kurnia story","Tempatnya nyaman,dingin murah meriah
Ada cafe dan campingnya juga","positif","","","","","","","","","","","","","","","","","","","","","",""
"85","Evy Noviana","Keren banget cantik masya Allah.. Enaknya bermandi di sini airnya segar. Harga tiket masuknya juga murah kok klo gk salah 15rb/org.","positif","","","","","","","","","","","","","","","","","","","","","",""
"86","Agus surahman","Gwe ngadem asik,, cuman klo parkir r4 kejauhan pdhal didlm dkt lokasi msih banyak yg kosong!! Gpp ws buat pengalaman rekom lokasinya ok...","positif","","","","","","","","","","","","","","","","","","","","","",""
"87","Indra Prima","Tempat yang cocok untuk melepas penat, udara yang sejuk, pemandangan indah, fasilitas lengkap.","positif","","","","","","","","","","","","","","","","","","","","","",""
"88","safa ati","Gak seberapa suka sih karena dr parkiran ke air terjun terlalu cepet jadi kurang menantang
Untuk parkir mobil ditarik karcis doble, di loket masuk sudah dikenakan tarif parkir mobil tapi pas sampai di lokasi ada karcis lagi","negatif","","","","","","","","","","","","","","","","","","","","","",""
"89","Irma Wahyuniarti","View sekitar perjalanan bagus banget. Udara dingin. Parkiran motor cukup ekstrim juga ya:v wisata sekitar air terjun di hari Minggu lumayan ramai, hampir semua pengunjung tidak memakai masker, banyak yang berjualan juga di sekitar pintu masuk","positif","","","","","","","","","","","","","","","","","","","","","",""
"90","M. Yusuf","Air terjun yang cukup terkenal di area Trawas

Air Terjun ini mudah di akses dari area parkir cukup jalan 5-10 menit sudah …","netral","","","","","","","","","","","","","","","","","","","","","",""
"91","Dahlia Puspitasari","Sudah semakin bagus tp tempat duduk kurang dan untuk menaruh barang klo mau main air agak susah","positif","","","","","","","","","","","","","","","","","","","","","",""
"92","Dei Wa","Adem enak, nyaman, tempat sholat juga layak. Perlu tiket dekat air terjun biar setelah basah basah Ndak terlalu lama berjalan","positif","","","","","","","","","","","","","","","","","","","","","",""
"93","Halo Praha","Wisata alam mudah dijangkau dan murah meriah tiket hanya 10k.","positif","","","","","","","","","","","","","","","","","","","","","",""
"94","Asep Zaenal Mutaqin","Bagus tempatnya cuma pas akhir tahun ada kenaikan harga tiket","netral","","","","","","","","","","","","","","","","","","","","","",""
"95","Fitriya Hanim","Hawanya dingin dan sejuk. yg lebih menyenangkan lagi air terjunnya g jauh dari parkiran. Pokoknya rekomended banget👍
Ig @fitriya_hanim28 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"96","Femmy El Falah Abidin","Tempat yang sejuk dan dingin serta pemandangan mata memandang semua hijau ,air terjun yang jernih dan sungai mengalir deras dan bening benar"" menenangkan. Bersih dari sampah dan warung makan yang tidak menguras kantong. Ayo teman"" jatim ramaikan wisata sekitar kita","positif","","","","","","","","","","","","","","","","","","","","","",""
"97","enqieko sjatmiko","Waktu berkunjung sore hari suasana alam sangat mendukung asri banget lebih sejuk
Toilet nya bersih air mengalir begitu deras segar suasana lintasan mendukung","positif","","","","","","","","","","","","","","","","","","","","","",""
"98","Cak Nunu","Asyik buat santai bareng teman dan keluarga... Suasana sejuk, pemandangan hijau dan air kali yang penuh bebatuan... sejenak menghilang penat kota Surabaya...","positif","","","","","","","","","","","","","","","","","","","","","",""
"99","Solikin Adja","Wisata air terjun yang lumayan ngehits di trawas...cocok untuk semua kalangan...banyak spot selfie yg bagus² jga...dg HTM yg murmer...kita bisa menikmati indahnya alam trawas...!!!jangan takut kelaparan.. …","positif","","","","","","","","","","","","","","","","","","","","","",""
"100","Didik Winardi","Kalau naik motor jln nya jau, .... Tpi sangat menyenangkan bisa berlibur sama keluaraga atau temen²","netral","","","","","","","","","","","","","","","","","","","","","",""
"101","Arif Wibowo","Salah satu tempat wisata didaerah trawas dengan nuansa alam & air terjun, tersedia tempat makan berbagai menu, parkir luas","netral","","","","","","","","","","","","","","","","","","","","","",""
"102","Vita Hartanto","Asiiiik...seru....nyaman.... siiiip laaaah pokoknya.... Toiletnya bersih... Top deeh....","positif","","","","","","","","","","","","","","","","","","","","","",""
"103","sunshine hoseok","Bersih asri dan airnya segerrr🤣🤣🤣. Tiket masuk murah 👍👍 …","positif","","","","","","","","","","","","","","","","","","","","","",""
"104","Novi Fauziya","Bagus tempat nya hanya butuh kesadaran masyarakat/pengunjung untuk tidak buang sampah SEMBARANGAN","positif","","","","","","","","","","","","","","","","","","","","","",""
"105","Lenny Ftry","bagus banget, tempat nya sejuk, bagus buat tempat wisata keluarga","positif","","","","","","","","","","","","","","","","","","","","","",""
"106","Ika Mujiani","Tempat wisata alam. Cocok untuk camping, main air, spot selfie","netral","","","","","","","","","","","","","","","","","","","","","",""
"107","5A_Moh Alif Hidayat","Tempat nya bagus enak buat yg lagi butuh udara alam","positif","","","","","","","","","","","","","","","","","","","","","",""
"108","Mar'atus Sholihah","Tempat wisata air terjun dlundung indah, udaranya segar, suasananya nyaman dan menyenangkan. Fasilitas nya cukup lengkap.","positif","","","","","","","","","","","","","","","","","","","","","",""
"109","Erna Nurna","Kesini hari minggu..parkir dan lokasi jauh bgt..ga seperti dulu","negatif","","","","","","","","","","","","","","","","","","","","","",""
